# Simulation 1 (Up to date)
# 256 data points written for 10 variables.
# Simulation warnings:
#   Stage began to tumble under thrust.
#   Large angle of attack encountered (28.3).
#
# Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),CP location (cm),CG location (cm),Normal force coefficient (?),Pitch moment coefficient (?),Pitch damping coefficient (?),Reference length (cm),Reference area (cm²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
14.593,35.667,-111.57,43.91,54.622,6.634,-6.1688,-3.1563,7.62,45.604
14.781,36.63,-114.23,44.046,54.617,6.9183,-6.3636,-3.2329,7.62,45.604
14.964,37.697,-116.99,44.19,54.612,7.2364,-6.6022,-3.2947,7.62,45.604
15.141,38.828,-119.87,44.333,54.607,7.5762,-6.8543,-3.3607,7.62,45.604
15.312,39.98,-122.87,44.471,54.602,7.9244,-7.0921,-3.4439,7.62,45.604
15.475,41.178,-125.96,44.606,54.598,8.2884,-7.3321,-3.5352,7.62,45.604
15.631,42.457,-129.16,44.742,54.593,8.6785,-7.5932,-3.6257,7.62,45.604
15.777,43.789,-132.48,44.875,54.589,9.0854,-7.8572,-3.7242,7.62,45.604
15.918,45.155,-135.81,42.779,54.585,6.9757,-6.9759,-3.8314,7.62,45.604
16.068,46.621,-138.85,43.086,54.58,7.4232,-7.2789,-3.9182,7.62,45.604
16.208,48.173,-142.02,43.394,54.576,7.9126,-7.6074,-4.0048,7.62,45.604
16.337,49.812,-145.35,43.698,54.572,8.4433,-7.9557,-4.0941,7.62,45.604
16.454,51.506,-148.82,43.983,54.568,8.9946,-8.3016,-4.1937,7.62,45.604
16.558,53.374,-152.47,44.29,54.565,9.636,-8.7124,-4.2814,7.62,45.604
16.648,55.276,-156.29,44.564,54.561,10.28,-9.0984,-4.388,7.62,45.604
16.724,57.076,-160.26,44.768,54.557,10.835,-9.3814,-4.5384,7.62,45.604
16.789,58.822,-164.27,44.928,54.554,11.327,-9.5921,-4.7172,7.62,45.604
16.843,60.605,-168.31,45.071,54.55,11.808,-9.7828,-4.9059,7.62,45.604
16.886,62.343,-172.35,45.181,54.547,12.225,-9.9071,-5.1191,7.62,45.604
16.92,64.109,-176.35,45.278,54.544,12.622,-10.008,-5.3406,7.62,45.604
16.945,65.916,-180.31,45.365,54.541,13.002,-10.089,-5.5677,7.62,45.604
16.961,67.866,-184.24,45.463,54.537,13.42,-10.199,-5.7819,7.62,45.604
16.968,69.852,-188.14,45.548,54.534,13.808,-10.279,-6.0044,7.62,45.604
16.967,71.873,-191.99,45.622,54.531,14.164,-10.327,-6.2345,7.62,45.604
16.957,73.967,-195.8,45.689,54.528,14.501,-10.356,-6.4649,7.62,45.604
16.941,76.098,-199.54,45.745,54.526,14.797,-10.35,-6.7017,7.62,45.604
16.917,78.265,-203.21,45.789,54.523,15.049,-10.305,-6.9441,7.62,45.604
16.888,80.432,-206.79,45.818,54.52,15.239,-10.204,-7.1975,7.62,45.604
16.855,82.62,-210.26,45.835,54.517,15.375,-10.062,-7.456,7.62,45.604
16.817,84.843,-213.62,45.843,54.515,15.463,-9.882,-7.7155,7.62,45.604
16.777,87.072,-216.84,45.839,54.512,15.493,-9.6549,-7.9798,7.62,45.604
16.734,89.242,-219.91,45.815,54.51,15.443,-9.3618,-8.2594,7.62,45.604
